VO_JA_Archive_Tingyun_1.ogg  ||  私は停雲、「羅浮」天舶司の商団の接渡使です。以後よろしくお願いしますね。
VO_JA_Archive_Tingyun_13.ogg  ||  以前、珍品だと思ったものを彦卿に贈ったことがあります。その時は丁寧に礼を言って受け取ってくれたのですが…ある日、あの子が工造司で剣を選ぶところを見たのです。あの喜色満面の様子といったら…ふふっ、やはり子供はわかりやすいですね。
VO_JA_Archive_Tingyun_14.ogg  ||  星槎の操縦にせよ、天舶司の管理にせよ、仙舟には常に御空様のお姿があります。「舵を取る」技術において、私は彼女の足元にも及びません。
VO_JA_Archive_Tingyun_15.ogg  ||  天外の行商人？「鳴火」の名簿にはありませんが…おかしいですね、この私が覚えていないなんて。
VO_JA_Archive_Tingyun_16.ogg  ||  素裳さんは熱心な方です。毎日のように店に来ては、「商売は上手くいってる？手伝ってあげるよ！」、「嫌がらせしてくる奴はいる？追い返してあげるよ！」…と、気遣ってくださるのですよ。
VO_JA_Archive_Tingyun_17.ogg  ||  白露様の手は小さいのですが、どこか不思議な力がありまして…私も「羅浮」に帰るたびに、いつも彼女のところに行って、マッサージをしてもらっています。
VO_JA_Archive_Tingyun_18.ogg  ||  以前は牌荘の常連だと思っていましたが、最近になって、彼女が太卜司の卜者であるという話を聞きました…太卜司といえば非常に忙しいことで有名ですが、牌荘に通う暇などあるのでしょうか？
VO_JA_Archive_Tingyun_19.ogg  ||  太卜様は率直にものを言うお方ですが、その内容はどれも理に適っているのです。あえて評価するのであれば、味わい深い叱責、といったところでしょうか……
VO_JA_Archive_Tingyun_20.ogg  ||  茶楼のすべては夢茗が1人で切り盛りしています。よく「狐族は生まれた時から商売に精通している」と言いますが、そんなに簡単なことではないのですよ。
VO_JA_Tingyun_Battle_Begins_-_Weakness_Break_01.ogg  ||  好機です、一気に片付けましょう。
VO_JA_Tingyun_Battle_Begins_-_Danger_Alert_01.ogg  ||  あらら、困りました。
VO_JA_Tingyun_Turn_Begins_01.ogg  ||  客なら、もてなすほかありませんね。
VO_JA_Tingyun_Turn_Begins_02.ogg  ||  和を以て貴しと為すのはどうでしょう？
VO_JA_Tingyun_Turn_Idling_01.ogg  ||  好機はあっという間に過ぎ去りますよ。
VO_JA_Tingyun_Basic_ATK_01.ogg  ||  落ち着いて。
VO_JA_Tingyun_Skill_01.ogg  ||  諸悪退散～
VO_JA_Tingyun_Skill_02.ogg  ||  万事順調～
VO_JA_Tingyun_Hit_by_Light_Attack_01.ogg  ||  話し合いましょう…
VO_JA_Tingyun_Hit_by_Heavy_Attack_01.ogg  ||  憶えておきなさい…
VO_JA_Tingyun_Ultimate_-_Activate_01.ogg  ||  千の珍奇をもって鼓舞を。
VO_JA_Tingyun_Ultimate_-_Unleash_01.ogg  ||  万事吉とならん、一心同帰。
VO_JA_Tingyun_Downed_01.ogg  ||  運気に…陰りが…
VO_JA_Tingyun_Return_to_Battle_01.ogg  ||  お手伝いしましょう。
VO_JA_Tingyun_Health_Recovery_01.ogg  ||  急がば回れですね。
VO_JA_Tingyun_Technique_01.ogg  ||  涼しいですね。
VO_JA_Tingyun_Battle_Won_01.ogg  ||  皆さん、いい腕前ですね。
VO_JA_Tingyun_Treasure_Opening_01.ogg  ||  いい値になるでしょう。
VO_JA_Tingyun_Successful_Puzzle-Solving_01.ogg  ||  順風満帆ですね。
VO_JA_Tingyun_Enemy_Target_Found_01.ogg  ||  あれは…話しても通じないでしょう…
VO_JA_Tingyun_Returning_to_Town_01.ogg  ||  どちらへ行かれます？ご案内しましょうか。
