VO_ZH_Archive_Tingyun_1.ogg  ||  小女子名作停云，「罗浮」天舶司商团接渡使。接下来还要多多仰仗恩公啦。
VO_ZH_Archive_Tingyun_16.ogg  ||  素裳姑娘好热心哪，每天都要来铺子问上一遍，「生意难不难做啦？我帮你！」，「有没有人打砸啦？我帮你！」……
VO_ZH_Archive_Tingyun_17.ogg  ||  白露大人手小小的，手下功夫可了不得…每趟回「罗浮」，小女子都要上她那儿躺一躺，按一按骨头。
VO_ZH_Archive_Tingyun_18.ogg  ||  之前只当她是牌馆的常客，但近来却听说她是太卜司的卜者…那儿不是忙得脚不沾地么？哪还有空去牌馆呀？
VO_ZH_Archive_Tingyun_19.ogg  ||  太卜大人说话虽然不留情面，但又句句在理，小女子斗胆说一句，这训斥听来真别有一番滋味……
VO_ZH_Archive_Tingyun_20.ogg  ||  如今茶楼里里外外全靠梦茗一人张罗，世人常道「狐人天生会行商」，哪有那么容易哟。
VO_ZH_Archive_Tingyun_1.ogg  ||  
VO_ZH_Archive_Tingyun_2.ogg  ||  
VO_ZH_Archive_Tingyun_3.ogg  ||  
VO_ZH_Archive_Tingyun_4.ogg  ||  
VO_ZH_Archive_Tingyun_5.ogg  ||  
VO_ZH_Archive_Tingyun_6.ogg  ||  
VO_ZH_Archive_Tingyun_7.ogg  ||  
VO_ZH_Archive_Tingyun_8.ogg  ||  
VO_ZH_Archive_Tingyun_9.ogg  ||  
VO_ZH_Archive_Tingyun_10.ogg  ||  
VO_ZH_Archive_Tingyun_11.ogg  ||  
VO_ZH_Archive_Tingyun_12.ogg  ||  
VO_ZH_Archive_Tingyun_13.ogg  ||  
VO_ZH_Archive_Tingyun_14.ogg  ||  
VO_ZH_Archive_Tingyun_15.ogg  ||  
VO_ZH_Archive_Tingyun_16.ogg  ||  
VO_ZH_Archive_Tingyun_17.ogg  ||  
VO_ZH_Archive_Tingyun_18.ogg  ||  
VO_ZH_Archive_Tingyun_19.ogg  ||  
VO_ZH_Archive_Tingyun_20.ogg  ||  
VO_ZH_Tingyun_Battle_Begins_-_Weakness_Break_01.ogg  ||  趁此机会一举拿下吧。
VO_ZH_Tingyun_Battle_Begins_-_Danger_Alert_01.ogg  ||  哎呀，不太好办了。
VO_ZH_Tingyun_Turn_Begins_01.ogg  ||  客人嘛，岂有不招待的道理。
VO_ZH_Tingyun_Turn_Begins_02.ogg  ||  要不，咱们还是以和为贵？
VO_ZH_Tingyun_Turn_Idling_01.ogg  ||  机会稍纵即逝，等不得呀。
VO_ZH_Tingyun_Basic_ATK_01.ogg  ||  消消火气。
VO_ZH_Tingyun_Skill_01.ogg  ||  诸邪回避~
VO_ZH_Tingyun_Skill_02.ogg  ||  万事顺意~
VO_ZH_Tingyun_Hit_by_Light_Attack_01.ogg  ||  有话好好说呀…
VO_ZH_Tingyun_Hit_by_Heavy_Attack_01.ogg  ||  哼，给我记着。
VO_ZH_Tingyun_Ultimate_-_Activate_01.ogg  ||  就以奇珍万千，给各位鼓劲啦~
VO_ZH_Tingyun_Ultimate_-_Unleash_01.ogg  ||  百事贞吉，一心同归。
VO_ZH_Tingyun_Downed_01.ogg  ||  时运…不济啊…
VO_ZH_Tingyun_Return_to_Battle_01.ogg  ||  还有什么要帮忙的？
VO_ZH_Tingyun_Health_Recovery_01.ogg  ||  赶早不如赶巧。
VO_ZH_Tingyun_Technique_01.ogg  ||  凉快凉快~
VO_ZH_Tingyun_Battle_Won_01.ogg  ||  各位还真是好身手。
VO_ZH_Tingyun_Treasure_Opening_01.ogg  ||  定能开个好价。
VO_ZH_Tingyun_Successful_Puzzle-Solving_01.ogg  ||  顺风顺水~
VO_ZH_Tingyun_Enemy_Target_Found_01.ogg  ||  那家伙看上去不怎么好说话……
VO_ZH_Tingyun_Returning_to_Town_01.ogg  ||  想去哪儿，我来领路~
VO_ZH_Tingyun_Battle_Begins_-_Weakness_Break_01.ogg  ||  
VO_ZH_Tingyun_Battle_Begins_-_Danger_Alert_01.ogg  ||  
VO_ZH_Tingyun_Turn_Begins_01.ogg  ||  
VO_ZH_Tingyun_Turn_Begins_02.ogg  ||  
VO_ZH_Tingyun_Turn_Idling_01.ogg  ||  
VO_ZH_Tingyun_Basic_ATK_01.ogg  ||  
VO_ZH_Tingyun_Skill_01.ogg  ||  
VO_ZH_Tingyun_Skill_02.ogg  ||  
VO_ZH_Tingyun_Hit_by_Light_Attack_01.ogg  ||  
VO_ZH_Tingyun_Hit_by_Heavy_Attack_01.ogg  ||  
VO_ZH_Tingyun_Ultimate_-_Activate_01.ogg  ||  
VO_ZH_Tingyun_Ultimate_-_Unleash_01.ogg  ||  
VO_ZH_Tingyun_Downed_01.ogg  ||  
VO_ZH_Tingyun_Return_to_Battle_01.ogg  ||  
VO_ZH_Tingyun_Health_Recovery_01.ogg  ||  
VO_ZH_Tingyun_Technique_01.ogg  ||  
VO_ZH_Tingyun_Battle_Won_01.ogg  ||  
VO_ZH_Tingyun_Treasure_Opening_01.ogg  ||  
VO_ZH_Tingyun_Successful_Puzzle-Solving_01.ogg  ||  
VO_ZH_Tingyun_Enemy_Target_Found_01.ogg  ||  
VO_ZH_Tingyun_Returning_to_Town_01.ogg  ||  
